neg,neu,pos,compound
0.016,0.852,0.132,0.9367
0.0,0.746,0.254,0.9231
0.02,0.775,0.205,0.9827
0.053,0.911,0.037,-0.3506
0.067,0.901,0.032,-0.9196
0.035,0.859,0.106,0.967
0.143,0.828,0.028,-0.7567
0.027,0.896,0.077,0.6369
0.035,0.905,0.059,0.5574
0.115,0.885,0.0,-0.7096
0.075,0.719,0.207,0.9424
0.056,0.853,0.091,0.4522
0.087,0.873,0.04,-0.624
0.0,0.711,0.289,0.9356
0.143,0.784,0.073,-0.8126
0.058,0.839,0.103,0.3291
0.066,0.85,0.084,0.4603
0.11,0.767,0.123,0.1278
0.127,0.675,0.198,0.6588
0.115,0.807,0.078,-0.8877
0.127,0.832,0.041,-0.8649
0.028,0.839,0.133,0.8442
0.0,0.813,0.187,0.7783
0.032,0.836,0.131,0.967
0.0,0.593,0.407,0.9371
0.0,0.758,0.242,0.9393
0.103,0.838,0.059,-0.8224
0.0,0.775,0.225,0.9712
0.163,0.837,0.0,-0.9354
0.029,0.685,0.286,0.9923
0.093,0.791,0.117,0.8655
0.045,0.862,0.093,0.9586
0.03,0.94,0.03,0.0129
0.023,0.887,0.09,0.7351
0.0,0.747,0.253,0.9587
0.0,0.836,0.164,0.9381
0.078,0.822,0.1,0.6192
0.157,0.766,0.077,-0.6978
0.061,0.686,0.253,0.9628
0.0,0.707,0.293,0.9747
0.162,0.779,0.059,-0.7388
0.047,0.792,0.162,0.7266
0.0,0.847,0.153,0.9117
0.087,0.717,0.195,0.8847
0.111,0.847,0.042,-0.9153
0.068,0.932,0.0,-0.5596
0.118,0.861,0.021,-0.8979
0.058,0.931,0.012,-0.862
0.048,0.689,0.264,0.9657
0.083,0.881,0.036,-0.8591
0.0,0.79,0.21,0.8516
0.108,0.811,0.081,-0.1779
0.116,0.8,0.085,-0.7721
0.111,0.84,0.049,-0.8987
0.037,0.786,0.176,0.9208
0.0,0.555,0.445,0.9829
0.148,0.774,0.078,-0.7543
0.062,0.655,0.283,0.9033
0.164,0.774,0.062,-0.9239
0.052,0.782,0.167,0.9862
0.116,0.817,0.067,-0.4559
0.0,0.777,0.223,0.9864
0.338,0.633,0.029,-0.97
0.081,0.763,0.156,0.7876
0.071,0.767,0.162,0.7771
0.024,0.769,0.207,0.9765
0.042,0.715,0.243,0.9492
0.0,0.73,0.27,0.9816
0.055,0.854,0.091,0.8031
0.245,0.725,0.03,-0.9393
0.064,0.839,0.097,0.6633
0.0,0.601,0.399,0.9925
0.039,0.877,0.084,0.555
0.021,0.76,0.22,0.9951
0.0,0.82,0.18,0.9716
0.07,0.912,0.018,-0.677
0.025,0.896,0.08,0.8768
0.12,0.837,0.043,-0.9134
0.0,0.74,0.26,0.9657
0.048,0.894,0.059,0.7621
0.104,0.855,0.041,-0.8395
0.121,0.82,0.059,-0.3595
0.143,0.835,0.022,-0.9201
0.103,0.87,0.027,-0.5023
0.0,0.923,0.077,0.8555
0.105,0.872,0.023,-0.9905
0.077,0.868,0.056,-0.4583
0.119,0.781,0.1,0.2023
0.09,0.845,0.065,-0.4497
0.172,0.744,0.084,-0.88
0.074,0.752,0.173,0.9316
0.071,0.796,0.132,0.7501
0.277,0.723,0.0,-0.9215
0.129,0.732,0.138,0.5234
0.042,0.812,0.146,0.9269
0.109,0.841,0.05,-0.8479
0.071,0.735,0.193,0.902
0.127,0.824,0.048,-0.782
0.036,0.865,0.098,0.9136
0.085,0.797,0.118,0.9469
0.123,0.817,0.061,-0.7357
0.007,0.788,0.205,0.9896
0.0,0.809,0.191,0.958
0.112,0.877,0.011,-0.9493
0.107,0.893,0.0,-0.956
0.049,0.644,0.307,0.9853
0.065,0.874,0.061,0.3071
0.07,0.73,0.2,0.9902
0.111,0.817,0.072,-0.7106
0.118,0.873,0.01,-0.9974
0.058,0.869,0.074,0.5834
0.136,0.755,0.109,-0.0885
0.088,0.71,0.201,0.9661
0.04,0.787,0.174,0.9616
0.084,0.881,0.034,-0.7906
0.06,0.793,0.147,0.7003
0.088,0.812,0.1,0.3228
0.043,0.75,0.207,0.8514
0.215,0.737,0.047,-0.821
0.131,0.793,0.077,-0.4391
0.054,0.783,0.164,0.8955
0.184,0.753,0.063,-0.8906
0.127,0.815,0.058,-0.7092
0.083,0.891,0.026,-0.8802
0.306,0.628,0.066,-0.9516
0.124,0.821,0.055,-0.98
0.166,0.834,0.0,-0.6764
0.06,0.821,0.119,0.7876
0.095,0.872,0.034,-0.784
0.168,0.797,0.035,-0.8387
0.097,0.842,0.061,-0.8302
0.106,0.857,0.037,-0.6706
0.061,0.8,0.139,0.962
0.133,0.817,0.05,-0.8074
0.0,0.852,0.148,0.9294
0.055,0.916,0.029,-0.4635
0.073,0.867,0.061,-0.522
0.088,0.866,0.046,-0.7338
0.084,0.744,0.172,0.8579
0.046,0.821,0.133,0.95
0.218,0.782,0.0,-0.802
0.203,0.769,0.028,-0.8957
0.013,0.894,0.094,0.9841
0.079,0.786,0.135,0.9416
0.142,0.775,0.083,-0.3687
0.0,0.842,0.158,0.9229
0.0,0.873,0.127,0.9118
0.142,0.827,0.031,-0.8363
0.05,0.814,0.137,0.9475
0.186,0.814,0.0,-0.8481
0.143,0.804,0.053,-0.9371
0.099,0.727,0.173,0.9812
0.196,0.784,0.02,-0.8573
0.092,0.908,0.0,-0.7553
0.087,0.817,0.095,-0.1372
0.13,0.87,0.0,-0.854
0.0,0.937,0.063,0.5859
0.165,0.814,0.021,-0.9726
0.155,0.789,0.056,-0.9539
0.026,0.747,0.227,0.8536
0.077,0.834,0.089,0.7998
0.0,0.695,0.305,0.98
0.07,0.887,0.043,-0.5106
0.021,0.731,0.248,0.9795
0.113,0.816,0.071,-0.2964
0.038,0.814,0.148,0.9942
0.008,0.824,0.168,0.9788
0.0,0.792,0.208,0.9802
0.0,0.823,0.177,0.9484
0.043,0.904,0.053,0.5994
0.017,0.854,0.13,0.9592
0.169,0.764,0.067,-0.611
0.037,0.866,0.097,0.7691
0.029,0.853,0.118,0.8358
0.03,0.887,0.083,0.9598
0.092,0.522,0.386,0.9337
0.13,0.833,0.036,-0.7345
0.044,0.858,0.098,0.4404
0.077,0.867,0.056,-0.09
0.151,0.849,0.0,-0.7549
0.065,0.875,0.06,-0.0772
0.276,0.619,0.105,-0.9061
0.082,0.814,0.104,0.4119
0.085,0.786,0.128,0.9682
0.205,0.554,0.241,0.2978
0.225,0.756,0.018,-0.9925
0.021,0.795,0.183,0.8748
0.081,0.919,0.0,-0.9226
0.034,0.932,0.034,-0.25
0.065,0.897,0.038,-0.5023
0.019,0.936,0.045,0.4386
0.0,0.68,0.32,0.9911
0.108,0.871,0.022,-0.7783
0.054,0.801,0.145,0.9475
0.091,0.868,0.042,-0.4404
0.021,0.8,0.179,0.9859
0.038,0.85,0.112,0.9764
0.044,0.713,0.243,0.9866
0.016,0.917,0.067,0.7506
0.184,0.786,0.03,-0.9731
0.145,0.712,0.143,-0.0497
0.178,0.733,0.09,-0.7682
0.076,0.816,0.108,0.8968
0.064,0.821,0.115,0.5796
0.075,0.847,0.078,0.2895
0.118,0.787,0.095,-0.2973
0.0,0.685,0.315,0.9484
0.031,0.825,0.144,0.9828
0.051,0.793,0.156,0.9646
0.042,0.851,0.107,0.8641
0.05,0.807,0.144,0.9309
0.066,0.841,0.093,0.3404
0.035,0.9,0.065,0.3612
0.132,0.798,0.07,-0.7215
0.24,0.709,0.051,-0.9715
0.0,0.629,0.371,0.9844
0.129,0.779,0.091,-0.7232
0.037,0.737,0.227,0.9944
0.033,0.623,0.344,0.9682
0.083,0.871,0.046,-0.8218
0.088,0.824,0.088,-0.2265
0.023,0.817,0.16,0.8914
0.051,0.923,0.026,-0.0516
0.0,0.732,0.268,0.8718
0.0,0.703,0.297,0.9199
0.0,0.747,0.253,0.9485
0.099,0.832,0.07,-0.6652
0.151,0.849,0.0,-0.9732
0.07,0.906,0.024,-0.7437
0.038,0.711,0.251,0.9389
0.056,0.913,0.031,-0.6981
0.019,0.828,0.153,0.9415
0.077,0.821,0.102,0.5719
0.0,0.712,0.288,0.9245
0.137,0.801,0.062,-0.3763
0.107,0.751,0.141,0.4385
0.048,0.864,0.088,0.7414
0.031,0.937,0.032,0.2732
0.056,0.897,0.047,0.0202
0.096,0.728,0.176,0.9021
0.0,0.79,0.21,0.8979
0.1,0.788,0.111,0.775
0.022,0.949,0.029,0.6542
0.029,0.939,0.032,0.1036
0.196,0.771,0.033,-0.8893
0.14,0.79,0.07,-0.8883
0.081,0.704,0.214,0.9099
0.081,0.737,0.182,0.9526
0.017,0.654,0.329,0.9877
0.034,0.868,0.098,0.5423
0.058,0.695,0.247,0.9607
0.095,0.838,0.067,-0.404
0.129,0.801,0.07,-0.8407
0.0,0.954,0.046,0.5423
0.06,0.875,0.065,-0.1168
0.046,0.817,0.137,0.9685
0.103,0.814,0.083,-0.5434
0.024,0.769,0.208,0.99
0.027,0.964,0.01,-0.6093
0.084,0.916,0.0,-0.3952
0.056,0.769,0.175,0.8968
0.124,0.876,0.0,-0.8675
0.018,0.959,0.024,0.1486
0.0,0.764,0.236,0.9792
0.12,0.819,0.061,-0.9614
0.0,0.851,0.149,0.9897
0.041,0.835,0.124,0.9911
0.097,0.851,0.051,-0.8569
0.11,0.826,0.063,-0.9289
0.04,0.809,0.152,0.899
0.109,0.838,0.053,-0.9335
0.195,0.794,0.011,-0.9844
0.16,0.797,0.043,-0.9702
0.186,0.767,0.047,-0.9703
0.123,0.769,0.107,-0.2725
0.029,0.935,0.036,0.1901
0.033,0.888,0.079,0.8402
0.112,0.8,0.088,-0.6504
0.0,0.71,0.29,0.9752
0.031,0.795,0.174,0.9808
0.059,0.752,0.189,0.9334
0.107,0.839,0.054,-0.7522
0.039,0.738,0.223,0.9432
0.0,0.538,0.462,0.9701
0.071,0.892,0.037,-0.4976
0.102,0.844,0.054,-0.9158
0.055,0.906,0.039,-0.3816
0.137,0.755,0.108,-0.5994
0.158,0.767,0.075,-0.973
0.034,0.648,0.318,0.9552
0.048,0.807,0.144,0.9813
0.046,0.804,0.15,0.9366
0.059,0.755,0.186,0.9507
0.031,0.815,0.153,0.9504
0.125,0.875,0.0,-0.7906
0.165,0.78,0.055,-0.952
0.045,0.771,0.184,0.7089
0.057,0.835,0.108,0.8504
0.11,0.781,0.109,0.4547
0.052,0.927,0.021,-0.4019
0.059,0.742,0.199,0.8074
0.025,0.751,0.223,0.9817
0.122,0.856,0.022,-0.9509
0.105,0.786,0.109,0.4492
0.011,0.817,0.172,0.979
0.015,0.819,0.166,0.9579
0.032,0.825,0.143,0.9081
0.074,0.857,0.069,0.1775
0.042,0.807,0.152,0.877
0.05,0.9,0.05,0.2617
0.214,0.786,0.0,-0.8402
0.033,0.744,0.224,0.9791
0.093,0.876,0.031,-0.8935
0.074,0.856,0.071,-0.1814
0.116,0.815,0.069,-0.4866
0.049,0.854,0.097,0.7428
0.02,0.832,0.149,0.925
0.084,0.875,0.041,-0.7656
0.09,0.902,0.008,-0.8957
0.075,0.8,0.125,0.2533
0.042,0.929,0.029,-0.2973
0.0,0.592,0.408,0.9503
0.207,0.664,0.129,-0.5684
0.122,0.791,0.086,-0.128
0.18,0.82,0.0,-0.8621
0.058,0.88,0.062,0.1045
0.051,0.853,0.096,0.6712
0.034,0.724,0.242,0.987
0.056,0.871,0.074,0.4767
0.035,0.79,0.175,0.9782
0.021,0.88,0.099,0.9935
0.039,0.946,0.015,-0.5095
0.059,0.827,0.113,0.8856
0.073,0.927,0.0,-0.8284
0.095,0.877,0.029,-0.9688
0.054,0.808,0.138,0.9827
0.062,0.869,0.069,0.4135
0.085,0.879,0.036,-0.7896
0.055,0.927,0.018,-0.7943
0.122,0.825,0.053,-0.9103
0.084,0.893,0.023,-0.6801
0.057,0.916,0.027,-0.7644
0.052,0.789,0.159,0.9951
0.011,0.738,0.251,0.9903
0.053,0.856,0.092,0.7848
0.131,0.832,0.037,-0.9476
0.017,0.76,0.223,0.9719
0.038,0.897,0.065,0.714
0.033,0.778,0.188,0.9652
0.158,0.689,0.153,-0.128
0.19,0.772,0.038,-0.8807
0.074,0.852,0.074,0.6064
0.077,0.827,0.096,0.6035
0.041,0.838,0.12,0.8682
0.148,0.807,0.045,-0.9746
0.0,0.768,0.232,0.9168
0.06,0.904,0.036,-0.3595
0.114,0.862,0.024,-0.9513
0.011,0.803,0.186,0.9661
0.101,0.787,0.111,0.4903
0.0,0.761,0.239,0.9642
0.142,0.832,0.026,-0.8379
0.077,0.909,0.014,-0.9127
0.104,0.77,0.126,0.204
0.006,0.779,0.215,0.9943
0.109,0.885,0.006,-0.9552
0.044,0.847,0.109,0.8975
0.043,0.891,0.065,0.3919
0.059,0.885,0.056,-0.197
0.279,0.721,0.0,-0.9623
0.0,0.689,0.311,0.9268
0.0,0.789,0.211,0.9559
0.095,0.743,0.162,0.7964
0.135,0.826,0.039,-0.7391
0.131,0.836,0.033,-0.5984
0.039,0.961,0.0,-0.4767
0.086,0.866,0.048,-0.8538
0.104,0.8,0.097,-0.0954
0.077,0.766,0.157,0.852
0.095,0.8,0.105,0.6074
0.171,0.802,0.027,-0.8762
0.062,0.844,0.094,0.4404
0.019,0.595,0.386,0.995
0.022,0.734,0.244,0.9871
0.067,0.835,0.098,0.9145
0.074,0.807,0.12,0.6705
0.061,0.894,0.046,-0.4411
0.072,0.892,0.036,-0.3182
0.061,0.904,0.035,-0.3105
0.059,0.691,0.249,0.9837
0.1,0.858,0.042,-0.5032
0.176,0.805,0.019,-0.9607
0.077,0.758,0.166,0.5781
0.044,0.82,0.136,0.9494
0.014,0.929,0.057,0.6808
0.089,0.88,0.031,-0.9266
0.122,0.751,0.127,0.5409
0.219,0.671,0.111,-0.8122
0.041,0.872,0.087,0.9799
0.066,0.858,0.076,0.4961
0.0,0.682,0.318,0.9454
0.0,0.704,0.296,0.9811
0.113,0.794,0.093,-0.47
0.037,0.766,0.197,0.9927
0.063,0.937,0.0,-0.8925
0.035,0.793,0.172,0.9861
0.046,0.921,0.033,-0.2144
0.097,0.832,0.071,-0.6795
0.088,0.87,0.042,-0.6594
0.144,0.774,0.082,-0.4269
0.0,0.873,0.127,0.6757
0.058,0.713,0.229,0.997
0.0,0.966,0.034,0.3392
0.014,0.733,0.254,0.9992
0.128,0.825,0.047,-0.7237
0.028,0.668,0.304,0.9961
0.091,0.819,0.09,0.2263
0.063,0.869,0.068,0.2516
0.208,0.752,0.04,-0.8979
0.059,0.745,0.196,0.9747
0.095,0.816,0.089,-0.128
0.0,0.964,0.036,0.1982
0.031,0.797,0.172,0.9624
0.276,0.724,0.0,-0.9802
0.022,0.914,0.064,0.6369
0.058,0.808,0.134,0.9738
0.039,0.961,0.0,-0.2617
0.087,0.765,0.148,0.6494
0.0,0.753,0.247,0.9471
0.051,0.935,0.014,-0.6808
0.0,0.81,0.19,0.9976
0.117,0.817,0.065,-0.897
0.092,0.875,0.033,-0.7896
0.081,0.877,0.041,-0.3404
0.112,0.863,0.025,-0.8254
0.065,0.786,0.149,0.9964
0.059,0.794,0.147,0.9754
0.027,0.79,0.183,0.9439
0.071,0.826,0.103,0.4086
0.0,0.737,0.263,0.875
0.079,0.818,0.103,0.9112
0.109,0.882,0.009,-0.9855
0.053,0.876,0.072,0.7935
0.0,0.825,0.175,0.9842
0.045,0.81,0.145,0.9022
0.06,0.8,0.14,0.8885
0.154,0.791,0.055,-0.8625
0.033,0.785,0.181,0.985
0.07,0.78,0.15,0.9821
0.032,0.77,0.198,0.9908
0.074,0.649,0.277,0.9776
0.087,0.842,0.071,-0.757
0.115,0.779,0.106,-0.3103
0.103,0.792,0.105,-0.1796
0.104,0.817,0.078,-0.5038
0.14,0.81,0.05,-0.4939
0.167,0.761,0.072,-0.8657
0.027,0.776,0.196,0.9905
0.078,0.776,0.146,0.9618
0.023,0.767,0.21,0.9953
0.087,0.802,0.111,0.6698
0.107,0.807,0.086,-0.1842
0.06,0.801,0.138,0.8839
0.06,0.785,0.155,0.8613
0.081,0.806,0.113,0.5879
0.048,0.84,0.112,0.7165
0.11,0.808,0.082,-0.5023
0.042,0.891,0.067,0.6858
0.064,0.788,0.148,0.9192
0.0,0.883,0.117,0.5719
0.138,0.812,0.05,-0.9549
0.102,0.808,0.09,0.1406
0.11,0.818,0.072,-0.6631
0.092,0.872,0.036,-0.7828
0.0,0.968,0.032,0.6486
0.115,0.793,0.092,-0.8133
0.12,0.826,0.054,-0.8843
0.183,0.817,0.0,-0.9535
0.117,0.814,0.069,-0.7588
0.16,0.811,0.029,-0.965
0.03,0.74,0.229,0.9903
0.08,0.716,0.204,0.9773
0.074,0.724,0.202,0.9878
0.042,0.867,0.091,0.9288
0.0,0.665,0.335,0.9768
0.106,0.765,0.129,0.8053
0.107,0.849,0.044,-0.9086
0.119,0.802,0.079,-0.6429
0.125,0.816,0.059,-0.9337
0.014,0.807,0.179,0.9879
0.159,0.714,0.128,-0.5081
0.066,0.871,0.062,-0.0027
0.064,0.739,0.197,0.9126
0.065,0.867,0.068,-0.048
0.085,0.855,0.061,-0.4939
0.089,0.867,0.044,-0.8745
0.096,0.87,0.033,-0.9831
0.07,0.824,0.106,0.6843
0.115,0.81,0.075,-0.8458
0.03,0.885,0.084,0.5719
0.068,0.766,0.166,0.9932
0.009,0.703,0.288,0.9894
0.187,0.744,0.069,-0.7391
0.019,0.805,0.176,0.984
0.083,0.892,0.026,-0.9501
0.121,0.83,0.049,-0.7995
0.017,0.82,0.163,0.9948
0.037,0.904,0.059,0.4318
0.105,0.895,0.0,-0.9428
0.063,0.796,0.141,0.9687
0.047,0.895,0.057,0.4854
0.171,0.783,0.045,-0.9464
0.051,0.886,0.063,0.128
0.142,0.763,0.095,-0.4019
0.279,0.675,0.046,-0.9883
0.068,0.856,0.076,-0.3602
0.0,0.604,0.396,0.9914
0.011,0.918,0.072,0.7955
0.107,0.893,0.0,-0.886
0.038,0.953,0.008,-0.6369
0.08,0.803,0.117,0.9022
0.049,0.861,0.09,0.943
0.033,0.836,0.13,0.9953
0.154,0.633,0.213,0.5849
0.034,0.966,0.0,-0.4215
0.058,0.79,0.151,0.8926
0.0,0.928,0.072,0.6096
0.133,0.724,0.143,0.2297
0.075,0.841,0.084,0.8019
0.125,0.754,0.121,-0.1441
0.029,0.871,0.1,0.8021
0.045,0.933,0.022,-0.7579
0.094,0.813,0.093,0.1987
0.015,0.827,0.158,0.9621
0.06,0.875,0.065,0.4325
0.239,0.746,0.016,-0.9615
0.088,0.709,0.202,0.9094
0.075,0.853,0.072,0.1714
0.101,0.73,0.168,0.6705
0.024,0.833,0.143,0.964
0.121,0.843,0.036,-0.7845
0.033,0.854,0.113,0.9319
0.043,0.804,0.153,0.9784
0.12,0.851,0.03,-0.8424
0.035,0.868,0.097,0.6812
0.127,0.839,0.034,-0.903
0.0,0.706,0.294,0.9423
0.084,0.865,0.05,-0.822
0.064,0.84,0.096,0.7803
0.067,0.841,0.092,0.2382
0.052,0.923,0.025,-0.34
0.027,0.724,0.249,0.9474
0.142,0.777,0.081,-0.8339
0.127,0.835,0.038,-0.7096
0.195,0.759,0.046,-0.8126
0.114,0.851,0.035,-0.9384
0.017,0.835,0.148,0.9659
0.0,1.0,0.0,0.0
0.078,0.836,0.086,0.4623
0.094,0.813,0.093,-0.2789
0.064,0.891,0.045,-0.3182
0.109,0.838,0.052,-0.9249
0.124,0.827,0.049,-0.717
0.061,0.9,0.039,-0.7153
0.146,0.78,0.074,-0.9815
0.088,0.876,0.036,-0.8352
0.07,0.82,0.109,0.9263
0.019,0.886,0.095,0.9212
0.06,0.872,0.069,-0.0644
0.023,0.717,0.261,0.986
0.052,0.822,0.126,0.9469
0.055,0.851,0.093,0.6187
0.033,0.819,0.148,0.9621
0.119,0.81,0.071,-0.8449
0.032,0.852,0.117,0.9171
0.047,0.796,0.158,0.8868
0.087,0.744,0.169,0.9938
0.048,0.862,0.09,0.5719
0.093,0.791,0.116,0.566
0.095,0.838,0.067,-0.685
0.08,0.828,0.092,0.5023
0.067,0.933,0.0,-0.6907
0.044,0.858,0.098,0.875
0.088,0.85,0.062,-0.0675
0.066,0.729,0.205,0.9577
0.131,0.653,0.216,0.9261
0.045,0.867,0.088,0.9162
0.065,0.909,0.026,-0.3818
0.018,0.851,0.131,0.9258
0.048,0.874,0.079,0.5507
0.148,0.823,0.029,-0.9631
0.026,0.956,0.018,-0.0124
0.043,0.884,0.073,0.4577
0.089,0.814,0.096,0.1476
0.053,0.814,0.133,0.7715
0.109,0.832,0.059,-0.7198
0.072,0.803,0.125,0.8124
0.098,0.902,0.0,-0.5996
0.067,0.641,0.292,0.967
0.03,0.97,0.0,-0.3612
0.068,0.878,0.054,-0.1655
0.07,0.682,0.248,0.9582
0.079,0.866,0.054,-0.6705
0.048,0.813,0.138,0.8167
0.105,0.815,0.08,-0.2885
0.115,0.805,0.08,-0.34
0.089,0.663,0.248,0.989
0.175,0.793,0.032,-0.97
0.108,0.808,0.085,-0.3407
0.049,0.88,0.071,0.5279
0.07,0.83,0.1,0.8954
0.067,0.842,0.091,0.8128
0.059,0.792,0.149,0.8325
0.127,0.858,0.014,-0.9458
0.134,0.777,0.089,-0.3182
0.027,0.782,0.191,0.9784
0.038,0.918,0.044,0.1884
0.0,0.863,0.137,0.8858
0.034,0.755,0.212,0.8588
0.123,0.8,0.077,-0.8207
0.027,0.747,0.225,0.9481
0.054,0.917,0.029,-0.717
0.087,0.8,0.113,0.6374
0.12,0.88,0.0,-0.8179
0.051,0.83,0.118,0.927
0.139,0.784,0.077,-0.9301
0.034,0.706,0.26,0.9757
0.144,0.811,0.046,-0.3919
0.071,0.873,0.056,-0.7792
0.137,0.753,0.11,-0.1027
0.039,0.911,0.051,0.1779
0.0,0.856,0.144,0.8225
0.15,0.831,0.019,-0.9604
0.092,0.851,0.057,-0.7297
0.069,0.848,0.083,0.7814
0.139,0.852,0.01,-0.9167
0.092,0.856,0.052,-0.3818
0.048,0.915,0.036,-0.09
0.096,0.892,0.011,-0.9693
0.082,0.884,0.034,-0.851
0.083,0.797,0.12,0.86
0.064,0.785,0.151,0.9534
0.032,0.751,0.217,0.9805
0.044,0.767,0.189,0.9871
0.218,0.782,0.0,-0.9637
0.101,0.847,0.052,-0.7397
0.119,0.841,0.041,-0.9659
0.051,0.865,0.083,0.7137
0.095,0.777,0.128,0.8236
0.056,0.829,0.114,0.9756
0.035,0.677,0.288,0.9905
0.043,0.846,0.111,0.9872
0.078,0.849,0.073,-0.5761
0.29,0.71,0.0,-0.9676
0.054,0.834,0.112,0.9645
0.052,0.782,0.166,0.9095
0.096,0.874,0.029,-0.9115
0.041,0.901,0.058,0.1027
0.124,0.789,0.087,-0.8863
0.103,0.753,0.144,0.7212
0.112,0.76,0.128,-0.0422
0.213,0.659,0.128,-0.8797
0.09,0.864,0.046,-0.4019
0.17,0.795,0.036,-0.9493
0.035,0.8,0.165,0.9127
0.113,0.854,0.034,-0.9874
0.076,0.879,0.045,-0.8659
0.094,0.864,0.042,-0.7957
0.122,0.751,0.127,0.0486
0.068,0.913,0.019,-0.836
0.101,0.759,0.14,0.8359
0.093,0.863,0.044,-0.6985
0.168,0.754,0.079,-0.9231
0.052,0.854,0.095,0.8798
0.0,0.834,0.166,0.9577
0.017,0.893,0.09,0.802
0.088,0.806,0.107,0.5187
0.052,0.798,0.15,0.5478
0.107,0.734,0.159,0.5193
0.107,0.893,0.0,-0.9221
0.04,0.885,0.076,0.9715
0.044,0.929,0.028,-0.317
0.059,0.831,0.11,0.9288
0.098,0.765,0.137,0.8872
0.121,0.827,0.052,-0.6755
0.0,0.693,0.307,0.9558
0.071,0.909,0.019,-0.6551
0.0,0.794,0.206,0.9753
0.108,0.835,0.057,-0.9104
0.0,0.76,0.24,0.9838
0.095,0.841,0.064,-0.856
0.042,0.869,0.088,0.7767
0.06,0.85,0.09,0.7809
0.116,0.835,0.048,-0.764
0.122,0.773,0.104,0.388
0.036,0.909,0.055,0.6124
0.066,0.85,0.084,0.5386
0.104,0.781,0.115,0.2244
0.138,0.823,0.039,-0.9758
0.082,0.759,0.16,0.9528
0.074,0.786,0.139,0.9925
0.075,0.902,0.023,-0.8869
0.109,0.821,0.07,-0.3853
0.033,0.79,0.177,0.9978
0.043,0.735,0.222,0.9991
0.047,0.861,0.091,0.9007
0.046,0.846,0.108,0.7972
0.041,0.915,0.045,-0.2079
0.047,0.906,0.047,0.6956
0.031,0.746,0.223,0.9741
0.092,0.818,0.09,-0.387
0.097,0.814,0.089,0.0267
0.055,0.9,0.045,-0.2158
0.066,0.873,0.061,-0.1818
0.232,0.698,0.07,-0.981
0.087,0.803,0.109,0.69
0.014,0.834,0.152,0.9773
0.035,0.853,0.112,0.9503
0.038,0.855,0.107,0.9635
0.045,0.922,0.034,-0.128
0.08,0.846,0.074,-0.4499
0.088,0.846,0.065,-0.1314
0.012,0.96,0.028,0.325
0.109,0.853,0.038,-0.9901
0.113,0.834,0.053,-0.9538
0.084,0.863,0.053,-0.7631
0.052,0.888,0.06,-0.4482
0.07,0.817,0.113,0.2944
0.134,0.702,0.163,0.6863
0.114,0.793,0.092,-0.3356
0.044,0.791,0.165,0.9022
0.068,0.896,0.035,-0.8773
0.189,0.725,0.086,-0.8203
0.095,0.83,0.075,-0.1438
0.043,0.777,0.18,0.989
0.082,0.891,0.028,-0.8525
0.01,0.845,0.145,0.968
0.065,0.7,0.234,0.9817
0.033,0.956,0.01,-0.8106
0.053,0.9,0.047,-0.2551
0.142,0.761,0.097,-0.5719
0.048,0.908,0.044,0.3207
0.089,0.765,0.146,0.9665
0.152,0.848,0.0,-0.8776
0.179,0.821,0.0,-0.8271
0.051,0.825,0.124,0.8217
0.053,0.846,0.101,0.8886
0.138,0.729,0.132,-0.376
0.104,0.838,0.058,-0.3557
0.0,0.791,0.209,0.9392
0.027,0.834,0.14,0.9842
0.136,0.797,0.067,-0.8834
0.042,0.886,0.072,0.7222
0.186,0.754,0.06,-0.9643
0.113,0.79,0.097,-0.1601
0.055,0.721,0.224,0.9824
0.062,0.805,0.133,0.8587
0.071,0.889,0.04,-0.5522
0.131,0.838,0.031,-0.996
0.093,0.815,0.092,-0.0375
0.04,0.78,0.18,0.9835
0.191,0.765,0.044,-0.9641
0.112,0.757,0.131,0.3361
0.081,0.773,0.146,0.8883
0.035,0.906,0.059,0.4019
0.042,0.874,0.084,0.6753
0.203,0.778,0.019,-0.9538
0.014,0.867,0.119,0.907
0.071,0.871,0.058,-0.2409
0.173,0.599,0.228,0.9217
0.112,0.775,0.113,-0.2051
0.048,0.877,0.075,0.9438
0.061,0.803,0.136,0.7574
0.116,0.884,0.0,-0.6249
0.01,0.906,0.084,0.9297
0.095,0.823,0.082,-0.4635
0.079,0.832,0.09,-0.0
0.166,0.766,0.068,-0.9735
0.022,0.848,0.13,0.9875
0.108,0.873,0.019,-0.7876
0.099,0.781,0.12,0.5638
0.098,0.756,0.146,0.5991
0.09,0.779,0.131,0.5232
0.11,0.726,0.165,0.873
0.0,0.915,0.085,0.6124
0.046,0.858,0.096,0.9547
0.019,0.908,0.073,0.7632
0.071,0.9,0.03,-0.4767
0.059,0.836,0.105,0.8725
0.072,0.883,0.045,-0.2328
0.11,0.79,0.1,0.2177
0.114,0.759,0.127,0.477
0.165,0.752,0.083,-0.9076
0.081,0.834,0.084,0.0772
0.146,0.762,0.092,-0.941
0.097,0.847,0.056,-0.7731
0.0,0.771,0.229,0.9183
0.089,0.843,0.067,-0.8148
0.104,0.78,0.116,0.5361
0.052,0.842,0.106,0.8338
0.026,0.763,0.211,0.9931
0.035,0.777,0.188,0.9814
0.058,0.74,0.203,0.9923
0.04,0.833,0.127,0.9471
0.165,0.777,0.058,-0.8165
0.116,0.837,0.048,-0.9919
0.109,0.871,0.02,-0.8075
