neg,neu,pos,compound
0.155,0.76,0.084,-0.9475
0.14,0.81,0.05,-0.931
0.112,0.758,0.13,0.7147
0.072,0.852,0.076,0.6692
0.09,0.874,0.036,-0.8942
0.037,0.934,0.029,-0.7449
0.151,0.76,0.089,-0.5574
0.14,0.848,0.012,-0.9313
0.092,0.873,0.035,-0.7143
0.073,0.914,0.014,-0.891
0.018,0.886,0.096,0.9228
0.134,0.793,0.073,-0.7076
0.076,0.924,0.0,-0.5106
0.076,0.858,0.066,0.0
0.066,0.766,0.168,0.9754
0.063,0.728,0.209,0.9492
0.022,0.882,0.096,0.6687
0.159,0.798,0.043,-0.725
0.0,0.76,0.24,0.9446
0.176,0.775,0.049,-0.7256
0.107,0.8,0.093,-0.4027
0.141,0.82,0.039,-0.7269
0.221,0.779,0.0,-0.7579
0.014,0.756,0.229,0.9927
0.077,0.797,0.125,0.5709
0.057,0.746,0.197,0.9708
0.067,0.874,0.06,-0.2263
0.04,0.93,0.03,-0.4365
0.183,0.765,0.052,-0.8384
0.125,0.811,0.063,-0.3818
0.101,0.867,0.031,-0.944
0.078,0.907,0.015,-0.8981
0.072,0.852,0.076,0.32
0.076,0.857,0.067,0.2598
0.033,0.726,0.241,0.9841
0.0,0.811,0.189,0.9723
0.094,0.796,0.11,0.7025
0.099,0.836,0.065,-0.7497
0.063,0.524,0.414,0.9808
0.13,0.791,0.079,-0.6936
0.082,0.884,0.034,-0.3997
0.036,0.887,0.077,0.919
0.063,0.887,0.049,-0.4486
0.086,0.888,0.026,-0.9281
0.035,0.856,0.108,0.4404
0.062,0.885,0.053,-0.2558
0.17,0.79,0.04,-0.9124
0.119,0.775,0.107,0.0258
0.17,0.697,0.133,-0.4903
0.0,0.792,0.208,0.765
0.0,0.958,0.042,0.2584
0.094,0.89,0.016,-0.9704
0.074,0.89,0.037,-0.876
0.092,0.866,0.041,-0.7304
0.074,0.894,0.032,-0.705
0.077,0.911,0.011,-0.799
0.035,0.923,0.042,0.7184
0.1,0.9,0.0,-0.7096
0.123,0.848,0.029,-0.5849
0.047,0.819,0.134,0.9657
0.262,0.738,0.0,-0.8932
0.075,0.867,0.058,0.0516
0.108,0.704,0.188,0.9032
0.077,0.809,0.114,0.882
0.04,0.938,0.022,-0.5519
0.108,0.866,0.026,-0.7644
0.055,0.814,0.131,0.7096
0.081,0.834,0.085,0.1189
0.16,0.728,0.111,-0.9617
0.284,0.681,0.035,-0.9493
0.119,0.881,0.0,-0.6908
0.1,0.835,0.066,-0.323
0.052,0.904,0.044,-0.2996
0.098,0.902,0.0,-0.8476
0.041,0.925,0.034,-0.25
0.083,0.858,0.059,-0.739
0.0,0.671,0.329,0.9903
0.082,0.918,0.0,-0.7841
0.175,0.8,0.025,-0.8957
0.18,0.82,0.0,-0.91
0.15,0.85,0.0,-0.765
0.147,0.809,0.044,-0.7717
0.078,0.922,0.0,-0.804
0.058,0.921,0.021,-0.9246
